word,frequency,level
Weisse,6,B1
statistisch,6,B1
verheert,6,B1
ausschliesslich,6,B1
zwanzigst,6,B1
drohend,6,B1
erstgeboren,6,B1
fruchtbar,6,B1
ärztlich,6,B1
Holländische,6,B1
erschienen,6,B1
vorliegend,6,B1
gottlos,6,B1
eur,6,B1
dumm,6,B1
fraglich,6,B1
krank,6,B1
gestohlen,6,B1
ideal,6,B1
tragend,6,B1
träumend,6,B1
hochgeehrt,6,B1
versprochen,6,B1
spekulativ,6,B1
allmählich,6,B1
geschlechtlich,6,B1
sterblich,6,B1
blühend,6,B1
hölzern,6,B1
Straßburger,6,B1
verdammt,6,B1
freiwillig,6,B1
Erster,6,B1
spitzig,6,B1
gemässigt,6,B1
animalisch,6,B1
vegetabilisch,6,B1
rationell,6,B1
50.,6,B1
vorübergehend,6,B1
stumm,6,B1
49.,6,B1
altpersisch,6,B1
rauh,6,B1
strahlend,6,B1
energisch,6,B1
häufig,6,B1
forsch,6,B1
werdend,6,B1
unerträglich,6,B1
augenblicklich,6,B2
herrschend,6,B2
ängstlich,6,B2
blond,6,B2
bescheiden,6,B2
leuchtend,6,B2
Tischler,6,B2
unsinnig,6,B2
anständig,6,B2
gröss,5,B2
erobert,5,B2
besetzt,5,B2
kaspisch,5,B2
Züricher,5,B2
individuell,5,B2
friedlich,5,B2
derselbe,5,B2
berechtigt,5,B2
wesentlich,5,B2
unzählbar,5,B2
ilchanisch,5,B2
verwundet,5,B2
inner,5,B2
pflanzlich,5,B2
vierzigst,5,B2
nestorianisch,5,B2
berühmtest,5,B2
vorläufig,5,B2
feste,5,B2
elft,5,B2
erforderlich,5,B2
vorsichtig,5,B2
geographisch,5,B2
stählern,5,B2
bleibend,5,B2
festlich,5,B2
geführt,5,B2
georgisch,5,B2
zwanzigjährig,5,B2
verächtlich,5,B2
vierzigjährig,5,B2
namhaft,5,B2
geliefert,5,B2
hießig,5,B2
schmutzig,5,B2
naturwissenschaftlich,5,B2
schuldig,5,B2
vocabulary,5,B2
blind,5,B2
read,5,B2
aktiv,5,B2
offn,5,B2
unnatürlich,5,B2
rar,5,B2
aktuell,5,B2
exakt,5,B2
ledig,5,B2
künstlerisch,5,B2
gewohnt,5,B2
westfälisch,5,B2
dumpf,5,B2
geschäftlich,5,B2
wunderlich,5,B2
weich,5,B2
verheirathet,5,B2
sinnlos,5,B2
anderweitig,5,B2
gewiss,5,B2
gehört,5,B2
unerhört,5,B2
thätig,5,B2
erhaben,5,B2
liebevoll,5,B2
unverdient,5,B2
würdig,5,B2
gnädig,5,B2
sorgfältig,5,B2
ritterlich,5,B2
viehisch,5,B2
theologisch,5,B2
geschickt,5,B2
zwecklos,5,B2
angestammt,5,B2
bedenklich,5,B2
entscheidend,5,B2
unsre,5,B2
übermässig,5,B2
jüdisch,5,B2
einsam,5,B2
ferner,5,B2
äußerer,5,B2
Zwee,5,B2
todt,5,B2
funkelnd,5,B2
unbillig,5,B2
34.,5,B2
symptomatisch,5,B2
unvermeidlich,5,B2
41.,5,B2
ausländisch,5,B2
43.,5,B2
heimlich,5,B2
edelst,5,B2
versteckt,5,B2
wohlthätig,5,B2
hervorgerufen,5,B2
empfindlich,5,B2
ungerecht,5,B2
geometrisch,5,B2
gerade,5,B2
scheinbaren,5,B2
funktionirend,5,B2
begehrt,5,B2
froh,5,B2
empfangen,5,B2
obig,5,B2
chuaresmisch,5,B2
ausständig,5,B2
neunzehnter,5,B2
verborgen,5,B2
ungünstig,5,B2
befehligt,5,B2
üppig,5,B2
aufsteigend,5,B2
entrissen,5,B2
näh,5,B2
langsam,5,B2
lokal,5,B2
gebenedeit,5,B2
gewonnen,5,B2
stolz,5,B2
unmündig,5,B2
unvollkommen,5,B2
absolut,5,B2
bunt,5,B2
welcher,5,B2
pädagogisch,5,B2
gesellschaftlich,5,B2
dschagataisch,5,B2
ausgesprochen,5,B2
heilsam,5,B2
umgekehrt,5,B2
gütig,5,B2
einheimisch,5,B2
6.,5,B2
geb.,4,B2
treulos,4,B2
zugefügt,4,B2
pekuniär,4,B2
anwesend,4,B2
aufrichtig,4,B2
best,4,B2
gebraten,4,B2
chronisch,4,B2
wundervoll,4,B2
gegenüberliegend,4,B2
geneigt,4,B2
Dero,4,B2
bräutlich,4,B2
goldn,4,B2
nackt,4,B2
fahrend,4,B2
naturwidrig,4,B2
gestrig,4,B2
fünfzehnt,4,B2
merklich,4,B2
verheerend,4,B2
überwunden,4,B2
langjährig,4,B2
examinirend,4,B2
seldschukisch,4,B2
bezüglich,4,B2
bitter,4,B2
fliegend,4,B2
geblieben,4,B2
cilicisch,4,B2
unglaublich,4,B2
legitim,4,B2
sachlich,4,B2
schlicht,4,B2
geschwind,4,B2
dreien,4,B2
beweglich,4,B2
Eroberer,4,B2
rothe,4,B2
verflucht,4,B2
thatsächlich,4,B2
physisch,4,B2
vergossen,4,B2
entfernt,4,B2
vorzeitig,4,B2
eigentlichst,4,B2
geweiht,4,B2
riesig,4,B2
dünn,4,B2
abenteuerlich,4,B2
meister,4,B2
sandt,4,B2
rauschend,4,B2
courtois,4,B2
zielbewusst,4,B2
gewaffnet,4,B2
erhoben,4,B2
denkend,4,B2
erlangt,4,B2
Janßensch,4,B2
abendlich,4,B2
socialethisch,4,B2
schlank,4,B2
narkotisch,4,B2
unparteiisch,4,B2
speculativ,4,B2
kühn,4,B2
Itzehoer,4,B2
rechtlich,4,B2
fortschreitend,4,B2
versetzt,4,B2
vorausgesetzt,4,B2
franzsch,4,B2
dänisch,4,B2
fünft,4,B2
privilegirt,4,B2
beliebt,4,B2
abscheulich,4,B2
liebend,4,B2
gekleidet,4,B2
jährlich,4,B2
schwierig,4,B2
aufmerksam,4,B2
Pariser,4,B2
vermeintlich,4,B2
dienend,4,B2
mütterlich,4,B2
steinern,4,B2
scheinbar,4,B2
dankbar,4,B2
eilt,4,B2
hanauisch,4,B2
lächerlich,4,B2
hypnotisch,4,B2
spessart,4,B2
abnehmend,4,B2
unerklärlich,4,B2
russisch,4,B2
sensitiv,4,B2
deutlich,4,B2
ausdrücklich,4,B2
Herrscher,4,B2
geschossen,4,B2
betrübt,4,B2
verwendet,4,B2
bedrohlich,4,B2
ist's,4,B2
angeführt,4,B2
chronologisch,4,B2
stattlich,4,B2
aufgeführt,4,B2
Holzvermesser,4,B2
erlassen,4,B2
