word,frequency,level
Funktion,32,A1
Gewissen,32,A1
Diplom,32,A1
Kreis,32,A1
Bau,32,A1
Bewohner,32,A1
Zukunft,32,A1
Schwein,32,A1
Unterhaltung,32,A1
Niederlage,31,A1
Werth,31,A1
Euphrat,31,A1
Wind,31,A1
Papier,31,A1
Sieg,31,A1
Kurultai,31,A1
Dukat,31,A1
Kaan,31,A1
ganze,31,A1
Verstand,31,A1
Kaiser,31,A1
Gerechtigkeit,31,A1
Tier,31,A1
Landschaft,31,A1
Anfang,31,A1
Mengku,31,A1
Chalifen,31,A1
Steigerung,31,A1
Zeichen,31,A1
Individuum,30,A1
Beibar,30,A1
Lob,30,A1
Gebet,30,A1
Held,30,A1
Lehre,30,A1
Ziel,30,A1
Aufsatz,30,A1
Söhne,30,A1
Rock,30,A1
Regiment,30,A1
Mangel,30,A1
Sessel,30,A1
Magnetiseur,30,A1
Lage,30,A1
Last,30,A1
verwandte,30,A1
Ring,30,A1
Osten,30,A1
Unrecht,30,A1
Gründer,30,A1
Flügel,30,A1
Beispiel,30,A1
Nutzen,30,A1
Menge,30,A1
Tomane,29,A1
Vieh,29,A1
Staub,29,A1
Schmerz,29,A1
Fischer,29,A1
Künstler,29,A1
Schicksal,29,A1
Gymnasium,29,A1
Magen,29,A1
Phantasie,29,A1
Pfeifer,29,A1
Satz,29,A1
Verfasser,29,A1
Hunger,29,A1
Einrichtung,29,A1
Padischah,29,A1
Straße,29,A1
Seid,29,A1
Ziege,29,A1
Horn,29,A1
Reuter,29,A1
Diwan,29,A1
Klasse,29,A1
Lauf,29,A1
Ernst,29,A1
Sitz,29,A1
Grenze,28,A1
gefangener,28,A1
Ane,28,A1
Nation,28,A1
Amt,28,A1
Schutz,28,A1
Ratte,28,A1
Forderung,28,A1
Ecke,28,A1
Hülfe,28,A1
Maul,28,A1
Verbindung,28,A1
Aufgabe,28,A1
Menschheit,28,A1
Nase,28,A1
Moslim,28,A1
Ritter,28,A1
Schaden,28,A1
März,28,A1
Have,27,A1
Bank,27,A1
Hahn,27,A1
Erfüllung,27,A1
Bitte,27,A1
Gang,27,A1
Treppe,27,A1
Handlung,27,A1
Bedeutung,27,A1
Sime,27,A1
Ei,27,A1
Sitt,27,A1
Gürtel,27,A1
Haupt,27,A1
Tafel,27,A1
Urtheil,27,A1
Achtung,27,A1
Masse,27,A1
Ankunft,27,A1
Finger,27,A1
Bürger,27,A1
Leser,26,A1
Behauptung,26,A1
Gräfin,26,A1
Adel,26,A1
Erdbeben,26,A1
Kommissar,26,A1
Gegentheil,26,A1
April,26,A1
Thür,26,A1
Herde,26,A1
Gesundheit,26,A1
Schande,26,A1
Quartier,26,A1
Beruf,26,A1
Erzählung,26,A1
Zorn,26,A2
Umgebung,26,A2
Schönheit,26,A2
Schatten,26,A2
Vorwurf,26,A2
vertrauen,26,A2
Grundsatz,26,A2
Gregor,26,A2
Universität,26,A2
Rose,26,A2
Rebiulewwel,25,A2
Hügel,25,A2
Unschuld,25,A2
Szene,25,A2
Eintritt,25,A2
Beginn,25,A2
Rat,25,A2
Band,25,A2
Juli,25,A2
Instinkt,25,A2
Ton,25,A2
Vaterland,25,A2
Oxus,25,A2
Palast,25,A2
Vernunft,25,A2
Kette,25,A2
Kommandant,25,A2
Kost,25,A2
Pfeil,25,A2
Vortheil,25,A2
Möglichkeit,25,A2
dritter,25,A2
Graf,25,A2
Politik,25,A2
Gebäude,25,A2
Pflanzenkost,25,A2
derselbe,25,A2
Mitte,24,A2
Dieb,24,A2
Russe,24,A2
Henne,24,A2
Brücke,24,A2
Mossul,24,A2
Dasein,24,A2
Vorschlag,24,A2
Schlüssel,24,A2
Sturz,24,A2
Bande,24,A2
Marsch,24,A2
Hase,24,A2
Mai,24,A2
Ssafer,24,A2
Offizierer,24,A2
Traumbewusstsein,24,A2
Neigung,24,A2
1.E.1,24,A2
Gelehrt,24,A2
Knän,24,A2
Thor,24,A2
Ruf,24,A2
Regel,24,A2
Stall,24,A2
Trunk,24,A2
Miafarakain,23,A2
Reisende,23,A2
Söhn,23,A2
Erwähnung,23,A2
Gebirge,23,A2
Steuer,23,A2
Nachkomme,23,A2
Kosten,23,A2
Zunge,23,A2
Stube,23,A2
Sklave,23,A2
Torheit,23,A2
Erklärung,23,A2
Klage,23,A2
Spur,23,A2
Ranzenräuber,23,A2
Farbe,23,A2
Hauslehrer,23,A2
arme,23,A2
Doktor,23,A2
Hinsicht,23,A2
Papiergeld,23,A2
Rache,23,A2
Gegenteil,23,A2
Sitte,23,A2
Tapferkeit,23,A2
Strafe,23,A2
Ueberlieferung,23,A2
Rekrut,23,A2
Schriftsteller,23,A2
Ausdruck,23,A2
Gan,23,A2
Chan,23,A2
Stoff,23,A2
Rechnung,23,A2
Krone,23,A2
Erfolg,22,A2
Nassireddin,22,A2
Stufe,22,A2
Herat,22,A2
Gegend,22,A2
Milch,22,A2
Mitleid,22,A2
Nervensystem,22,A2
Haufen,22,A2
Reform,22,A2
Stern,22,A2
Hyperästhesie,22,A2
Unruhe,22,A2
Fachreddin,22,A2
Eroberer,22,A2
Papa,22,A2
Einfall,22,A2
Persönlichkeit,22,A2
Aufenthalt,22,A2
Text,22,A2
Zweig,22,A2
Kubilai,22,A2
Papst,22,A2
Rückkehr,22,A2
Erbe,22,A2
Perle,21,A2
Aussicht,21,A2
Türe,21,A2
Verkehr,21,A2
Gubernator,21,A2
Kipdschak,21,A2
Verlust,21,A2
Messer,21,A2
Vogel,21,A2
Kaufleute,21,A2
Frauenzimmer,21,A2
Geburt,21,A2
Ski,21,A2
Halt,21,A2
Angesicht,21,A2
Loch,21,A2
essen,21,A2
Hauptmann,21,A2
Wittwe,21,A2
Musketierer,21,A2
Stamme,21,A2
Bedienerin,21,A2
Lektüre,21,A2
Dank,21,A2
Gedicht,21,A2
Schuh,21,A2
Treue,21,A2
Ramasan,21,A2
Publikum,21,A2
Standpunkt,21,A2
Melik,21,A2
Schnee,21,A2
Juni,21,A2
Tor,21,A2
Preis,21,A2
Gewehr,20,A2
Feindschaft,20,A2
Aufmerksamkeit,20,A2
Kreuzfahrer,20,A2
Jesd,20,A2
Belagerung,20,A2
Tschengischan,20,A2
Inhaber,20,A2
Holz,20,A2
Walde,20,A2
Thätigkeit,20,A2
Schah,20,A2
Botschafter,20,A2
Handwerk,20,A2
Lampe,20,A2
Madame,20,A2
Annahme,20,A2
-m,20,A2
Gebot,20,A2
Ruine,20,A2
Wirt,20,A2
Gras,20,A2
Erfahrung,20,A2
Lärm,20,A2
Lehrplan,20,A2
Derbend,20,A2
Vorzug,20,A2
Rolle,20,A2
Trichter,20,A2
Veränderung,20,A2
Schlösser,20,A2
lächeln,20,A2
Bericht,20,A2
Paß,20,A2
Beziehung,20,A2
Gift,20,A2
Auflage,20,A2
Schrecken,20,A2
Atabegin,20,A2
Koto,19,A2
Kaan',19,A2
Knie,19,A2
Pulver,19,A2
Jungfer,19,A2
Schuß,19,A2
Loge,19,A2
Wolke,19,A2
Philosoph,19,A2
Auftrag,19,A2
Engel,19,A2
Schulter,19,A2
Weibe,19,A2
Shall,19,A2
Kalb,19,A2
Behandlung,19,A2
Gewohnheit,19,A2
Tiefe,19,A2
Wiese,19,A2
Fahne,19,A2
Vermögen,19,A2
Verhältniss,19,A2
Furcht,19,A2
Eindruck,19,A2
kranke,19,A2
Prinzessinn,19,A2
Nahrung,19,A2
Besuch,19,A2
Geleit,19,A2
Ilchan,19,A2
Strom,19,A2
Geschöpf,19,A2
Silber,19,A2
fremde,19,A2
Uebergang,19,A2
Bart,19,A2
Bock,19,A2
Polizei,19,A2
Bauch,19,A2
Araber,19,A2
Geduld,19,A2
Heil,19,A2
Köchin,19,A2
Güte,19,A2
Träne,19,A2
Streit,19,A2
Armee,19,A2
Hausvater,19,A2
Schlag,19,A2
Sack,18,A2
Anschlag,18,A2
Reiz,18,A2
Gesinnung,18,A2
Insel,18,A2
Tugend,18,A2
Koran,18,A2
Tasche,18,A2
Mode,18,A2
Norden,18,A2
Verheerung,18,A2
Beischläferin,18,A2
Dauer,18,A2
Huldigung,18,A2
Erlaubniss,18,A2
Gedächtniss,18,A2
Turkmane,18,A2
Spindel,18,A2
Erhaltung,18,A2
Frühstück,18,A2
Vergnügen,18,A2
Griechischen,18,A2
